Company_Name,Extracted_Links,Extracted_Text
CIPLA LTD,"1. https://www.thehindubusinessline.com/markets/key-triggers-for-these-three-pharma-stocks-dr-reddys-lab-cipla-biocon/article69983032.ece#:~:text=By%20KS%20Badri%20Narayanan,%C3%97
2. https://www.thehindubusinessline.com/markets/key-triggers-for-these-three-pharma-stocks-dr-reddys-lab-cipla-biocon/article69983032.ece#:~:text=Cipla%20is%20recalling%20over%2020%2C000,recalling%20Ibuterol%20Sulfate%20Inhalation%20Aerosol.
3. https://www.indiainfoline.com/news/business/cipla-completes-20-stake-acquisition-in-icaltech-innovations#:~:text=Cipla%20Completes%2020%25%20Stake%20Acquisition,will%20continue%20to%20operate%20independently.
4. https://www.cnbctv18.com/market/cipla-shares-completes-20-pc-stake-acquisition-in-bengalurus-icaltech-innovations-19659970.htm#:~:text=HomeMarket%20NewsCipla%20completes,operate%20independently%20following%20the%20transaction.","On August 28, 2025, Cipla announced the completion of two corporate developments: the acquisition of a stake in iCaltech Innovations and a product recall in the US .

Corporate developments

Completes 20% stake acquisition in iCaltech Innovations:Cipla announced that it had closed the acquisition of a 20% stake in Bengaluru-based medical device maker iCaltech Innovations Pvt Ltd. The deal, valued at approximately ₹5 crore, gives Cipla a minority holding and reinforces its presence in the respiratory care and diagnostics sector.

Voluntary product recall in the US:An arm of Cipla, Cipla USA Inc., is voluntarily recalling over 20,000 packs of Ibuterol Sulfate Inhalation Aerosol in the US market. The product is a medication used to treat asthma and certain types of chronic obstructive pulmonary disease."
COALINDIA LTD,"1. https://www.moneycontrol.com/news/business/markets/coal-india-appoints-s-k-maimud-alli-as-executive-director-alpha-article-13497028.html
2. https://economictimes.indiatimes.com/coal-india-ltd/stocksupdate/companyid-11822.cms#:~:text=An%20average%20score%20in%20Stock,Appointment%20Of%20Smt.
3. https://www.thehindubusinessline.com/companies/coal-india-to-kick-off-roadshows-for-bbcl-and-cmpdi-ipos-soon-to-start-gauging-investors-interest/article69985682.ece#:~:text=By%20BL%20Kolkata%20Bureau,%C3%97
4. https://elitewealth.in/coal-india-dividend-update-key-highlights-ahead-of-august-28-agm/
5. https://www.taxtmi.com/news?id=29595#:~:text=Kolkata%2C%20Jan%206%20(PTI)%20Coal%20India%20Limited,collaborate%20on%20the%20development%20of%20critical%20minerals.","Multiple substantial corporate developments for COALINDIA Ltd were announced on August 28, 2025 .

Changes to leadership:The company announced several changes to its senior management and Board of Directors.

Shri Asheesh Kumar was appointed Director (Business Development) to the Board.

The company announced that Shri Asheesh Kumar ceased to be an Additional Director.

S. K. Maimud Alli was appointed as an Executive Director.

Annual General Meeting (AGM):The 51st Annual General Meeting was held, where shareholders voted on a final dividend of ₹5.15 per share for FY25.

Expansion into critical minerals:During the AGM, the chairman announced that Coal India is expanding into the critical minerals sector.

They have been the preferred bidder for two domestic graphite blocks.

They signed a memorandum of understanding (MoU) with IREL (India) Ltd. to explore critical minerals, including rare earth elements.

The company is also evaluating potential lithium assets in Australia for acquisition through a joint venture with KABIL.

Roadshows for subsidiary IPOs:Coal India plans to hold roadshows for the initial public offerings (IPOs) of its subsidiaries, Bharat Coking Coal Ltd (BBCL) and Central Mine Planning & Design Institute Ltd (CMPDI)."
DRREDDY LTD,"1. https://www.business-standard.com/markets/dr-reddys-laboratories-ltd-share-price-815/announcements/bse-exchange-48737524#:~:text=Announcement%20under%20Regulation%2030%20(LODR,Limited%20%2D%20Copy%20of%20Newspaper%20Publication
2. https://www.thehindubusinessline.com/companies/godrej-consumer-completes-51-stake-buy-in-africas-darling-group/article20331860.ece1#:~:text=The%20company%20made%20the%20announcement%20in%20a%20filing%20to%20the%20Bombay%20Stock%20Exchange.","On August 28, 2025, Dr. Reddy's Laboratories made an announcement regarding the allotment of Employee Stock Options (ESOPs) . The company released a regulatory filing disclosing the allotment of these equity shares.

Additional context regarding the announcement:

The announcement was made via a regulatory filing with the Bombay Stock Exchange (BSE).

While this is a corporate development, it is generally considered a routine and non-material event in the context of major business updates. It does not reflect on significant business strategy, mergers, acquisitions, or major product launches."
EICHERMOT LTD,"1. https://economictimes.indiatimes.com/eicher-motors-ltd/stocksupdate/companyid-13787.cms#:~:text=Eicher%20Motors%20reported%20a%209,stabilise%20around%2025.5%25%20by%20FY27.&text=The%20markets%20experienced%20volatility%20and,Swiggy's%20losses%20widened.&text=Eicher%20Motors%20posted%20a%209,remains%20optimistic%20on%20continued%20growth.&text=Intimation%20of%20Appointment%20of%20Cost%20Auditor%20of%20the%20Company.&text=Intimation%20of%20allotment%20of%20Equity%20Shares%20of%20the%20Company.&text=Unaudited%20standalone%20&%20consolidated%20financial%20results,quarter%20ended%20June%2030%2C%202025.
2. https://economictimes.indiatimes.com/eicher-motors-ltd/stocksupdate/companyid-13787.cms#:~:text=Sensex81%2C857.84213.45,%2C%202025%2C%2011:30AM%20IST
3. https://www.cnbctv18.com/auto/august-auto-sales-latest-updates-bajaj-auto-escorts-kubota-maruti-suzuki-mm-tata-motors-hero-motocorp-19662112.htm#:~:text=Total%20bike%20sales%20increased%2055,units%20in%20August%20last%20year.
4. https://www.marketsmojo.com/news/stocks-in-action/why-is-eicher-motors-fallingrising-3443537#:~:text=The%20company%20benefits%20from%20low,to%20the%20recent%20price%20fluctuation.
5. https://www.cnbctv18.com/auto/auto-sector-calls-for-uniform-gst-ahead-of-council-meet-eicher-hero-flag-risks-of-higher-tax-on-premium-bikes-19662303.htm#:~:text=The%20automobile%20industry%20is%20back,three%2Dwheelers%2C%20and%20ambulances.
6. https://www.angelone.in/live-blog/eicher-motors-ltd-28-aug-2025-505200#:~:text=9:45%20AM-,Eicher%20Motors%20Ltd%20Share%20Price%20Performs%20Strongly%20Today,28%2C%202025%209:30%20AM
7. https://www.marketsmojo.com/news/stocks-in-action/why-is-eicher-motors-fallingrising-3449520#:~:text=The%20company%20is%20trading%20above,to%20the%20current%20price%20decline.
8. https://www.argusmedia.com/en/news-and-insights#:~:text=Our%20complementary%20industry%2Dspecific%20email%20updates%20help%20you,insight%2C%20special%20features%20and%20key%20pricing%20indications.","No significant corporate developments for EICHERMOT Ltd on. The news coverage on this date focused on routine market commentary, price movements, and a general analysis of market trends . Substantial corporate news was from earlier in August or later on September 1, 2025.

Details of related news near August 28, 2025:

August 27:A stock analyst recommended Eicher Motors as a long-term investment opportunity.

August 28:MarketsMojo published a fundamental analysis of Eicher Motors, discussing the stock's price movements and valuation concerns on this date.

August 29:Eicher Motors announced an upcoming analyst/investor meeting.

September 1:Later reporting revealed Eicher Motors' August sales data, which was announced on this date.

September 1:CNBC TV18 reported on industry reactions to potential GST rate changes, including concerns voiced by Eicher Motors' Chairman."
ETERNAL LTD,"1. https://hindi.economictimes.com/markets/share-bazaar/stocks-in-news-today-28-august-2025-eternal-tata-steel-indigo-united-breweries-zaggle/articleshow/123554396.cms#:~:text=%E0%A4%86%E0%A4%9C%20%E0%A4%95%E0%A5%87%20%E0%A4%B8%E0%A5%8D%E0%A4%9F%E0%A5%89%E0%A4%95%20%E0%A4%B8%E0%A5%81%E0%A4%9D%E0%A4%BE%E0%A4%B5%2028,%E0%A4%87%E0%A4%A8%E0%A4%95%E0%A5%87%20%E0%A4%AC%E0%A4%BE%E0%A4%B0%E0%A5%87%20%E0%A4%AE%E0%A5%87%E0%A4%82%20%E0%A4%B5%E0%A4%BF%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%BE%E0%A4%B0%20%E0%A4%B8%E0%A5%87%E0%A5%A4
2. https://m.economictimes.com/eternal-ltd/stocksupdate/companyid-57948.cms#:~:text=Explained:%20How%20MSCI%20reshuffle%20will,%2C%20favoring%20domestic%2Dfocused%20sectors.
3. https://www.marketsmojo.com/news/stocks-in-action/why-is-eternal-ltd-fallingrising-3445030#:~:text=Aug%2028%202025%2010:56,could%20be%20affecting%20investor%20sentiment.
4. https://scanx.trade/stock-market-news/corporate-actions/market-buzz-eternal-s-block-deal-tata-steel-s-expansion-and-indigo-s-stake-sale/17887103#:~:text=Eternal%20Sees%20Major%20Block%20Deal%20Eternal%20witnessed,and%20could%20potentially%20impact%20its%20stock%20performance.","On August 28, 2025, BNP Paribas reportedly bought over 100 million shares of ETERNAL Ltd for approximately ₹3,220 crore . This was described as a large-scale ""block deal"" in the stock. While the searches found no announcements directly from ETERNAL Ltd. on this date, this significant institutional buying activity was a major corporate news item reported by financial news sources.

This news is considered a substantial corporate development because:

Significant investment:The large size of the transaction indicates a major investment in ETERNAL Ltd. by a prominent financial institution.

Investor confidence:Such a large purchase by an institutional investor is often interpreted by the market as a vote of confidence in the company's prospects.

Potential market impact:The scale of the deal is substantial enough to have a notable effect on market sentiment and ETERNAL's share performance, separating it from routine trading activity."
GRASIM LTD,"1. https://www.moneycontrol.com/company-notices/grasimindustries/notices/GI01/#:~:text=Appointment%20Of%20Secretarial%20Auditor%20For,07:58pm%20%E2%80%A2%20Source:%20BSE
2. https://www.business-standard.com/markets/grasim-industries-ltd-share-price-227/announcements/bse-exchange-48731633#:~:text=Home%20/%20Markets%20/%20Grasim%20Industries%20Ltd,term%20of%205%20consecutive%20years","According to corporate filings on August 28, 2025, Grasim Industries made two substantial announcements: the appointment of a new secretarial auditor and the publication of results from its Annual General Meeting .

Appointment of Secretarial Auditor:Grasim announced the appointment of a new secretarial auditor for five consecutive years, as reported by BSE.

Annual General Meeting (AGM) results:The company published the scrutinizer's report and voting results for its 78th Annual General Meeting."
HCLTECH LTD,"1. https://www.hcltech.com/press-releases/hcltech-pearson-india-and-meity-startup-hub-join-forces-launch-arise-youtm-indias#:~:text=Press%20Release-,HCLTech%2C%20Pearson%20India%20and%20MeitY%20Startup%20Hub%20join%20forces%20to,the%20marketing%20and%20outreach%20efforts.
2. https://analyticsindiamag.com/ai-news-updates/hcltech-pearson-and-meity-startup-hub-launch-arise-for-you-to-drive-entrepreneurs/#:~:text=Get%20one%20year%20subscription%20for%20%E2%82%B95999&text=%E2%80%9CGrammarly's%20new%20AI%20agents%20are,line%20interface%20or%20chatbot%20model.%E2%80%9D&text=Companies%20rethink%20workflows%20to%20speed,Who%20Will%20Build%20the%20Architects?&text=The%20country's%20AI%20future%20hinges,India%20Bans%20Real%20Money%20Gaming?&text=The%20ban%20on%20real%20money,tech%20sector%20and%20nullify%20investments.&text=Lack%20of%20engagement%20in%20vernacular,synthetic%20data%20sets%20for%20development.&text=Many%20restructure%20workflows%2C%20automate%20jobs,discover%20rising%2C%20volatile%20AI%20bills.
3. https://scanx.trade/stock-market-news/corporate-actions/hcltech-launches-arise-for-you-a-national-student-entrepreneurship-initiative/17910724#:~:text=HCL%20Technologies%2C%20in%20collaboration%20with%20Pearson%20India,will%20receive%20Pearson's%20ESB%20Certification%2C%20mentorship%2C%20and
4. https://scanx.trade/stock-market-news/markets/markets-edge-higher-at-midday-nifty-sensex-post-modest-gains/17994763#:~:text=HCLTech:%20The%20IT%20major%20launched%20ARISE%20FOR,from%20over%20150%2C000%20students%20across%203%2C000+%20campuses.
5. https://www.thehindubusinessline.com/info-tech/hcltech-partners-with-pearson-meity-to-launch-a-national-student-entrepreneurship-drive/article69984240.ece#:~:text=HCL%20Technologies%20announced%20on%20Wednesday%20the%20launch,over%20150%2C000%20students%20across%203%2C000%20campuses%20nationwide.","On August 28, 2025, HCLTech, in partnership with Pearson India and the MeitY Startup Hub, launched the national initiative ""ARISE FOR YOU™"" . The program is designed to promote innovation and entrepreneurship among young people in India.

Target audience: Student entrepreneurs across India.

Expected participation: Over 150,000 students from more than 3,000 campuses are anticipated to participate.

Key activities: Participants will take part in an innovation and entrepreneurship challenge.

Outcome: The initiative will culminate in a grand finale in March 2026, where winning teams will be eligible for grants and incubation opportunities.

Partner contributions:

MeitY Startup Hub: Will provide access to its innovation ecosystem and offer mentorship.

Pearson India: Will provide an Entrepreneurship and Small Business (ESB) certification and learning materials."
HDFCBANK LTD,"1. https://www.business-standard.com/markets/capital-market-news/hdfc-bank-allots-767-70-cr-equity-shares-under-bonus-issue-125082800836_1.html#:~:text=HDFC%20Bank%20has%20today%20i.e.,Explore%20News
2. https://hdfcsky.com/news/hdfc-bank-allots-767-7-crore-bonus-shares-worth-rs-1535-4-crore#:~:text=Mumbai%2C%20August%2028%2C%202025%20%E2%80%93,based%20on%20the%20issued%20ratio.
3. https://www.business-standard.com/markets/news/hdfc-bank-tops-emerging-market-portfolios-with-71-percent-fund-ownership-125082800122_1.html#:~:text=Any%20positive%20surprise%20to%20our,reversion%20substantially%2C%20in%20our%20view.
4. https://hdfcsky.com/news/hdfc-bank-marks-first-ever-bonus-issue-stock-trades-between-rs-968-and-rs-985#:~:text=What%20Triggered%20the%20Price%20Move,stock%20in%202011%20and%202019.
5. https://hdfcsky.com/news/hdfc-bank-allots-767-7-crore-bonus-shares-worth-rs-1535-4-crore#:~:text=The%20bonus%20issue%20that%20HDFC%20Bank%20(,While%20share%20prices%20fluctuate%2C%20fundamentals%20remain%20unchanged.
6. https://www.business-standard.com/markets/news/hdfc-bank-tops-emerging-market-portfolios-with-71-percent-fund-ownership-125082800122_1.html#:~:text=Listen%20to%20This%20Article%20HDFC%20Bank%20has,Copley%20Fund%20Research%2C%20who%20publishes%20on%20Smartkarma.
7. https://www.business-standard.com/markets/news/hdfc-bank-tops-emerging-market-portfolios-with-71-percent-fund-ownership-125082800122_1.html#:~:text=India's%20most%20valuable%20lender%20is%20now%20held,)%20enduring%20appeal%20to%20global%20money%20managers.
8. https://www.smartkarma.com/home/daily-briefs/daily-brief-india-max-healthcare-institute-kovai-medical-center-and-hos-hdfc-bank-vedanta-resources-vikram-solar-jindal-steel-power-jindal-stainless-and-more/#:~:text=HDFC%20Bank%20Limited:%20Record%20Ownership%20and%20Dominance,with%20multiple%20holders%20above%20a%207%25%20weight.
9. https://www.business-standard.com/markets/news/hdfc-bank-tops-emerging-market-portfolios-with-71-percent-fund-ownership-125082800122_1.html#:~:text=Copley%20Fund%20Research%20finds%20HDFC%20Bank%20held,Corp%20(HDFC%20(%20HDFC%20Bank%20)%20).","The following are substantial corporate developments for HDFC Bank Ltd. published on August 28, 2025 :

Global emerging markets (EM) fund ownership

HDFC Bank allotted 767.7 crore bonus shares in a 1:1 ratio to eligible shareholders, effectively doubling the bank's equity base.

The record date for determining eligible shareholders was August 27, 2025.

Following the allotment, the bank's paid-up share capital increased to ₹1,535.4 crore.

This was the first bonus issue in the bank's history and is seen as an indicator of management's confidence in liquidity and trading volumes.

According to a Copley Fund Research analysis, HDFC Bank has cemented its position as the most important emerging market bank in global portfolios.

It is now held by 71% of all actively managed EM funds, the highest representation in the research firm's 17-year history.

This is attributed to the bank's increased strategic significance following its 2023 merger with its parent company, Housing Development Finance Corporation (HDFC)."
HDFCLIFE LTD,"1. https://www.angelone.in/live-blog/hdfc-life-insurance-company-ltd-28-aug-2025-540777#:~:text=HDFC%20Life%20Insurance%20Company%20Ltd%20Stock%20Rallies%200.09%25%20Today,28%2C%202025%202:15%20PM
2. https://simplywall.st/stocks/in/insurance/nse-hdfclife/hdfc-life-insurance-shares/news/hdfc-life-insurance-company-limiteds-nsehdfclife-largest-sha#:~:text=Our%20data%20shows%20that%20HDFC,the%20future%20of%20the%20company.
3. https://www.marketsmojo.com/news/stocks-in-action/hdfc-life-insurance-stock-declines-323-over-five-days-amid-sector-underperformance-3440843#:~:text=Stocks%20in%20Action-,HDFC%20Life%20Insurance%20Faces%20Mixed%20Performance%20Amid%20Competitive%20Market%20Dynamics,indicating%20mixed%20short%2Dterm%20performance.
4. https://newspatrolling.com/hdfc-life-and-avanse-financial-services-collaborate-to-secure-customers-financially/#:~:text=HDFC%20Life%20and%20Avanse%20Financial,Secure%20Customers%20Financially%20%2D%20Newspatrolling.com
5. https://www.bwpeople.in/article/hdfc-life-avanse-join-hands-to-safeguard-education-workforce-569565#:~:text=%23%20HDFC%20Life,the%20wellbeing%20of%20their%20people.","No significant corporate developments for HDFCLIFE Ltd on August 28, 2025 . Search results for this date reveal only routine market commentary, including daily stock price fluctuations, trading volume, and market performance.

News published on dates immediately preceding or following August 28, 2025, includes:

August 29, 2025:A news article mentions a partnership between HDFC Life and Avanse Financial Services to provide group credit life insurance to educational institutions, with reports also published on September 1, 2025.

August 30, 2025:A report on Simply Wall Street notes that HDFC Bank is the largest shareholder of HDFC Life."
HEROMOTOCO LTD,"1. https://m.economictimes.com/markets/stocks/news/gst-cut-jefferies-upgrades-hero-motocorp-but-bearish-on-hyundai-and-tata-motors/articleshow/123558882.cms#:~:text=Academy,road%20prices%20for%20most%20models.
2. https://economictimes.indiatimes.com/hero-motocorp-ltd/stocksupdate/companyid-13636.cms","On August 28, 2025, Jefferies upgraded HEROMOTOCO Ltd. to a ""Hold"" rating from ""Underperform,"" forecasting increased demand for two-wheelers due to a potential Goods and Services Tax (GST) cut . While this is primarily market commentary based on an external factor, it is a noteworthy event since it reflects a significant change in an analyst's view regarding the company's future earnings.

The brokerage raised its price target for Hero MotoCorp to Rs 5,200 from Rs 3,800.

Jefferies stated that a GST reduction would benefit two-wheelers and small passenger vehicles most significantly.

The upgrade was tempered by ongoing concerns about Hero MotoCorp's declining market share."
HINDALCO LTD,"1. https://manufacturing.economictimes.indiatimes.com/news/hi-tech/hindalco-to-build-iphone-chassis-unit-in-andhra/123555311#:~:text=The%20new%20facility%20is%20expected,613%20jobs%20in%20four%20years.
2. https://www.business-standard.com/companies/news/hindalco-aluminium-plant-andhra-pradesh-apple-iphone-chassis-supply-chain-125082800332_1.html#:~:text=Home%20/%20Companies%20/%20News%20/%20Hindalco,in%20the%20next%20four%20years.
3. https://www.deccanchronicle.com/southern-states/andhra-pradesh/hindalco-to-set-up-586-cr-aluminium-plant-in-kuppam-for-apple-iphone-chassis-1900720#:~:text=Naidu%2C%20who%20has%20been%20consistently,Subramanyam","On August 28, 2025, Hindalco Industries announced plans to invest ₹586 crore in a new aluminium extrusion facility in Kuppam, Andhra Pradesh, to produce components for Apple iPhones . The new plant will manufacture the primary raw material for mobile phone chassis, supporting Apple's supply chain in India.

Key details of the announcement:

The project was approved by Andhra Pradesh's State Investment Promotion Board.

Commercial production is expected to begin by March 2027.

The facility is projected to create over 600 jobs in four years.

This move aligns with India's ""Make in India"" initiative and expands the country's technology manufacturing capabilities."
HINDUNILVR LTD,"1. https://www.hul.co.in/news/#:~:text=Partner%20to%20Win:%20How%20partnership,7%20August%202025
2. https://www.tradingview.com/news/moneycontrol:08234677c094b:0-hindustan-unilever-shares-fall-0-59-in-today-s-session-over-1-5-lakh-shares-traded/#:~:text=Hindustan%20Unilever%20has%20announced%20several,Market%20Outlook%20&%20Investor%20Sentiment
3. https://www.hul.co.in/news/press-releases/
4. https://economictimes.indiatimes.com/hindustan-unilever-ltd/stocksupdate/companyid-13616.cms#:~:text=The%20Indian%20benchmark%20indices%20Sensex,recovery%20in%20fiscal%20year%202026.","On August 28, 2025, Hindustan Unilever (HINDUNILVR) issued a Postal Ballot Notice seeking shareholder approval for the appointment of Ms. Priya Nair as the new Managing Director and Chief Executive Officer . Ms. Nair's appointment had been previously announced in July, with an effective date of August 1, 2025.

The company also published the following business updates on its official website on August 28, 2025:

""Partner to Win"" program: HUL highlighted its flagship ""Partner to Win"" (PTW) program, which aims to improve collaboration with suppliers and partners on innovation, sustainability, and growth.

Sunsilk relaunch: An article detailed the relaunch of the Sunsilk brand, which aimed to refresh its identity to resonate with a new generation of consumers."
ICICIBANK LTD,"1. https://www.livemint.com/industry/banking/icici-bank-minimum-balance-hike-deposit-crunch-indian-banks-11756371499737.html#:~:text=Not%20thuggery%E2%80%94ICICI%20Bank's%20account,a%20brewing%20banking%20shake%2Dup
2. https://www.capitalmarket.com/markets/news/mid-session-news/icici-bank-announces-change-in-senior-management/1633823#:~:text=The%20board%20of%20ICICI%20Bank,change%20in%20senior%20management%20personnel
3. https://www.business-standard.com/markets/capital-market-news/icici-bank-announces-change-in-senior-management-125082801266_1.html#:~:text=ICICI%20Bank%20announces%20change%20in,2025%20in%20place%20of%20Saha.
4. https://www.capitalmarket.com/markets/news/derivatives-news/icici-bank-announces-change-in-senior-management/1633823#:~:text=The%20board%20of%20ICICI%20Bank%20has%20accepted,of%20business%20hours%20of%2028%20August%202025.
5. https://www.livemint.com/industry/banking/icici-bank-minimum-balance-hike-strategy-casa-deposits-cost-pressures-11755259753812.html","The following are significant corporate developments for ICICIBANK Ltd reported on August 28, 2025:

Senior Management Change: The bank's Board accepted the early retirement request from Subir Saha, the Group Chief Compliance Officer (GCCO), effective at the close of business hours on August 28, 2025. Anish Madhavan, a current Senior Management Personnel (SMP), was appointed as the new GCCO, effective August 29, 2025.

Minimum Balance Hike and Industry Impact: ALivemintarticle highlighted ICICI Bank's decision to raise its minimum balance requirement. The article discussed how this move, along with similar actions by other private banks, was seen as a strategic response to a deposit crunch in the Indian banking sector.

Equity Share Allotment: The bank allotted 68,621 equity shares under an employee stock option scheme (ESOS). This is a regular corporate action, but the specific allotment was reported on this date."
INDUSINDBK LTD,"1. https://scanx.trade/stock-market-news/stocks/indusind-bank-shareholders-reject-additional-nominee-director-proposal/18230383#:~:text=At%20IndusInd%20Bank's%20AGM%20on,%E2%82%B9740.90%20following%20the%20announcement.
2. https://www.livehindustan.com/business/indusind-bank-agm-proposal-rejected-by-shareholders-keep-an-eye-on-the-stock-today-201756691637160.html#:~:text=%E0%A4%AA%E0%A4%A2%E0%A4%BC%E0%A5%87%E0%A4%82%20%E0%A4%B0%E0%A4%BE%E0%A4%B6%E0%A4%BF%E0%A4%AB%E0%A4%B2%20%E0%A4%87%E0%A4%82%E0%A4%A1%E0%A4%B8%E0%A4%87%E0%A4%82%E0%A4%A1%20%E0%A4%AC%E0%A5%88%E0%A4%82%E0%A4%95%20AGM,Oil%20India%20National%20Sports%20Day
3. https://scanx.trade/stock-market-news/stocks/indusind-bank-approves-rs-30-000-crore-fundraising-plan-amid-leadership-changes/14829137#:~:text=The%20incoming%20CEO%20will%20face,financial%20misreporting%20and%20management%20issues.
4. https://www.cnbctv18.com/market/indusind-bank-q1-results-live-updates-profitability-asset-quality-loss-core-income-slippages-new-md-ceo-funds-share-price-liveblog-19644418.htm#:~:text=IndusInd%20Bank%20Q1%20Results%20Live%20Updates:%20Net%20profit%20beats%20estimates,risks%20despite%20the%20rising%20NPAs.
5. https://hdfcsky.com/news/indusind-bank-appoints-rajiv-anand-as-md-ceo-for-3-years#:~:text=By%20HDFC%20Sky%20%7C%20Published%20at,have%20been%20dissolved%20effective%20immediately.
6. https://timesofindia.indiatimes.com/business/india-business/indusind-bank-q1-profit-drops-72-to-rs-604-crore/articleshow/122964063.cms#:~:text=Why%20ISB%20Online?,their%20careers%20towards%20newer%20destinations.&text=To%20know%20more%20about%20this,by%20Times%20Internet's%20Spotlight%20team.","On August 28, 2025, IndusInd Bank's shareholders rejected a proposal that would have allowed promoters to nominate an additional director to the board . The news of this vote, which took place during the bank's Annual General Meeting (AGM) on that day, was widely reported by news outlets. The rejected resolution was voted down by 54% of shareholders, despite having received prior approval from the Reserve Bank of India (RBI).

Promoter institution IndusInd International Holdings (IIHL) expressed disappointment with the vote, stating they would work to clear up what they called a ""misinterpretation"" by proxy advisors. While this resolution failed, shareholders did approve the appointment of Rajiv Anand as the new MD and CEO, and other resolutions were also passed.

Contextual information This development follows other corporate changes and news earlier in August, including:

CEO change:Rajiv Anand had already formally taken charge as the new Managing Director and CEO on August 25, 2025, following his earlier appointment by the RBI.

AGM announcement:The 31st Annual General Meeting was scheduled for August 29, 2025.

Q1 results:Earlier in July, the bank reported a decline in Q1 FY26 net profit and faced scrutiny over asset quality."
INFY LTD,"1. https://www.infosys.com/newsroom/press-releases/2025/collaborate-scale-cross-border-payments.html#:~:text=Speed%202.0-,Mastercard%20and%20Infosys%20Collaborate%20to%20Scale%20Cross%2Dborder%20Payments,traditionally%20needed%20for%20integration%20projects.
2. https://www.prnewswire.com/in/news-releases/mastercard-and-infosys-collaborate-to-scale-cross-border-payments-302541187.html#:~:text=As%20Agentic%20AI%20Gains%20Traction,Meet%20Responsible%20AI%20Gold%20Standards","On August 28, 2025, On August 28, 2025,Infosysannounced a significant corporate development with its strategic collaboration with Mastercard .

Infosys entered into a partnership with Mastercard to scale cross-border payments. The collaboration is focused on enhancing access for financial institutions to Mastercard Move, Mastercard's portfolio of money movement capabilities.

Key details of the collaboration include:

Infosys will integrate its digital banking suite, Finacle (from its subsidiary EdgeVerve Systems), with Mastercard Move.

This integration is designed to provide financial institutions with a more efficient and faster pathway to access Mastercard Move's capabilities.

It is expected to reduce the typical implementation time and resourcing needed for such integration projects.

On August 28, 2025,Infosysannounced a significant corporate development with its strategic collaboration with Mastercard"
ITC LTD,"1. https://www.angelone.in/live-blog/itc-ltd-28-aug-2025-500875#:~:text=ITC%20Ltd%20Live%20Updates:%20Stock,28%2C%202025%209:45%20AM
2. https://www.angelone.in/live-blog/itc-ltd-28-aug-2025-500875#:~:text=Stock%20Rallies%200.09%25%20in%20the,28%2C%202025%2011:30%20AM
3. https://www.livemint.com/market/stock-market-news/top-gainers-losers-on-august-28-adani-total-gas-olectra-greentech-indigo-mcx-among-top-losers-today-11756374977204.html#:~:text=The%20higher%20duties%20apply%20to,lower%20rates%2C%20according%20to%20reports.&text=Indian%20Prime%20Minister%20Narendra%20Modi,in%20the%20worst%20possible%20scenario.
4. https://www.angelone.in/news/share-market/itc-dividend-2025-highest-payout-in-5-years-5-key-highlights#:~:text=%E2%82%B96.50%20as%20an%20interim,a%20final%20dividend%20(just%20announced)
5. https://m.economictimes.com/markets/stocks/news/itc-shares-in-focus-after-q1-profit-rises-3-yoy-to-rs-5244-crore-should-you-buy-sell-or-hold/articleshow/123085802.cms#:~:text=Segment%20revenue,Rs%203%2C695%20crore%20in%20Q4FY25.&text=1.
6. https://www.marketsmojo.com/news/stocks-in-action/itc-ltd-sees-1662-surge-in-open-interest-reaching-144197-contracts-3442171#:~:text=ITC%20Ltd.%2C%20a%20prominent%20player,in%20the%20broader%20market%20context.","No significant corporate developments for ITC Ltd on August 28, 2025 . Search results from that date include only routine, non-material information such as stock price fluctuations and changes in open interest, which do not qualify as significant corporate or business updates. News regarding other companies or general economic trends, though sometimes mentioning ITC in passing, does not constitute a corporate development for ITC itself. Earlier stories from August 2025 concerning quarterly results or dividend announcements are also not relevant for the specific date of August 28."
